rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
[],0.0,"[[37 98], [ 62 100]]","[[37 98], [ 62 100]]",25.0799,[],790
"[(0.4, 1)]",0.4615,"[[ 89 121], [ 73 100], [72 83], [71 75]]","[[ 89 121], [ 73 100], [72 83], [71 75]]",51.4924,[[6]],790
"[(0.1538, 3), (0.0476, 6)]",0.3784,"[[ 84 143], [ 82 133], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [81 49], [80 24], [86  4]]","[[ 84 143], [ 82 133], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [81 49], [80 24], [86  4]]",142.6057,"[[7, 3, 0], [6, 0, 3, 7, 4, 5]]",790
"[(0.2857, 6)]",0.24,"[[ 39 110], [50 91], [57 77], [72 56], [87 35], [105  18], [119  28]]","[[ 39 110], [50 91], [57 77], [72 56], [87 35], [105  18], [119  28]]",131.1844,"[[6, 0, 8, 1, 3, 6]]",790
"[(0.5238, 6), (0.3077, 3)]",0.5758,"[[82  8], [82 14], [88 40], [96 53], [105  59], [113  67], [130  82], [125  89], [117 115]]","[[82  8], [82 14], [88 40], [96 53], [105  59], [113  67], [130  82], [125  89], [117 115]]",128.5549,"[[4, 5, 2, 3, 0, 5], [4, 2, 3]]",790
[],0.0,"[[ 45 126], [ 37 144]]","[[ 45 126], [ 37 144]]",19.6977,[],790
[],0.0,"[[64 85], [66 81], [72 56], [74 38], [82 14]]","[[64 85], [66 81], [72 56], [74 38], [82 14]]",73.591,[],790
"[(0.5294, 4)]",0.5714,"[[119  75], [96 53], [88 40], [90 33], [105  18], [119  28]]","[[119  75], [96 53], [88 40], [90 33], [105  18], [119  28]]",92.79,"[[2, 4, 3, 5]]",790
"[(0.3333, 2)]",0.4118,"[[124  89], [117 115], [ 98 119], [ 65 113], [ 41 118]]","[[124  89], [117 115], [ 98 119], [ 65 113], [ 41 118]]",104.3986,"[[5, 0]]",790
"[(0.3333, 2)]",0.4286,"[[113  67], [97 62], [79 58], [71 69], [59 81], [45 95]]","[[113  67], [97 62], [79 58], [71 69], [59 81], [45 95]]",85.5732,"[[3, 3]]",790
[],0.0,"[[116  66], [113  67]]","[[116  66], [113  67]]",3.1623,[],790
[],0.12,"[[125  89], [130  82], [113  67], [105  59], [96 53], [86 45], [79 38]]","[[125  89], [130  82], [113  67], [105  59], [96 53], [86 45], [79 38]]",76.11,[],790
"[(0.6923, 3), (0.1429, 7), (0.4, 1)]",0.5758,"[[172  73], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [136 173]]","[[172  73], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [136 173]]",107.1947,"[[3, 6, 7], [8, 2, 1, 1, 2, 6, 5], [5]]",790
"[(0.1176, 4), (0.0952, 6)]",0.303,"[[90  7], [85 25], [79 38], [79 58], [73 77], [72 83], [ 73 100], [ 78 109], [ 98 119]]","[[90  7], [85 25], [79 38], [79 58], [73 77], [72 83], [ 73 100], [ 78 109], [ 98 119]]",128.6927,"[[2, 5, 4, 4], [4, 2, 0, 5, 1, 4]]",790
"[(0.7778, 2)]",0.92,"[[132 164], [102 174], [ 84 165], [ 78 155], [ 61 140], [ 50 121], [ 47 109]]","[[132 164], [102 174], [ 84 165], [ 78 155], [ 61 140], [ 50 121], [ 47 109]]",120.4047,"[[6, 4]]",790
[],0.0,"[[ 90 164], [ 78 155], [ 61 140], [ 50 130], [ 39 110]]","[[ 90 164], [ 78 155], [ 61 140], [ 50 130], [ 39 110]]",75.3631,[],790
[],0.0,"[[172  73], [183  77]]","[[172  73], [183  77]]",11.7047,[],790
"[(0.0769, 3)]",0.0769,"[[ 50 133], [ 72 130], [ 89 125], [111 119]]","[[ 50 133], [ 72 130], [ 89 125], [111 119]]",62.7272,"[[6, 6, 4]]",790
