Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[51 83], [66 86], [ 73 101], [ 89 113], [108 118], [130 123], [144 127], [144 147]]",51,83,144,147,8,128.6181,0.4828,0.4156,0.399,0.7,0.7,0.7,38.0237,
"[[38 94], [ 42 103]]",38,94,42,103,2,9.8489,0.0,0.0637,0.1608,0.0,0.0,0.0,30.2704,
"[[63 66], [66 86], [ 63 111], [ 66 132]]",63,66,66,132,4,66.6163,0.0,0.1258,0.0177,0.15,,,30.6763,
"[[ 37 143], [ 41 139], [ 48 117], [62 96]]",37,143,62,96,4,53.9825,0.0,0.0705,0.0465,0.15,,,30.586,
"[[ 45 136], [ 48 117], [62 96]]",45,136,62,96,3,44.4742,0.0,0.0173,0.0465,0.1,,,30.518,
"[[126  89], [138  84], [164  90], [178  94], [175  69], [166  62], [149  51]]",126,89,149,51,7,111.0731,0.84,0.6233,0.6033,,,,43.0062,
"[[ 37 154], [ 41 139], [ 43 119], [ 45 101], [50 81], [56 72], [60 51], [79  5], [95 18]]",37,154,95,18,9,176.9294,0.5758,0.7257,0.7091,,,,39.699,
"[[ 74 119], [ 87 115], [108 118], [130 123], [144 127]]",74,119,144,127,5,71.9359,0.0588,0.351,0.1591,,,,31.5552,
"[[153 122], [154 137], [130 123], [110 117], [ 92 114], [ 63 111]]",153,122,63,111,6,111.1018,0.619,0.5403,0.0745,,,,39.8461,
"[[174  93], [159  91], [131  94], [130  95], [125 101], [119 108], [110 117], [ 99 120], [ 75 118], [ 51 123], [ 40 125]]",174,93,40,125,11,145.6455,0.2195,0.4564,0.0571,,,,34.3802,
"[[ 46 145], [ 38 143], [ 22 138]]",46,145,22,138,3,25.0093,0.0,0.1919,0.289,,,,30.3788,
"[[187  68], [184  62], [180  53]]",187,68,180,53,3,16.5571,0.3333,0.2139,0.2397,,,,35.0846,
"[[88 66], [87 64], [60 51], [81  5], [98 13], [135  28], [138  45]]",88,66,138,45,7,158.7454,0.48,0.8663,0.1918,,,,38.199,
"[[74 87], [91 82], [113  89], [125 101], [135 107]]",74,87,135,107,5,69.4393,0.0588,0.1026,0.1052,,,,31.5373,
"[[127 179], [138 165], [143 157], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54], [143  42], [132  30]]",127,179,132,30,11,183.1736,1.0,0.6726,0.3547,,,,45.8097,
"[[132 179], [142 152], [144 127], [131 120], [132 115], [130  95]]",132,179,130,95,6,93.8358,0.8095,0.6189,0.316,,,,42.4468,
"[[129  79], [138  84], [164  90], [178  94], [175  69], [153  54], [143  42], [132  30], [123  45]]",129,79,123,45,9,152.7378,0.7879,0.6822,0.668,,,,42.559,
"[[79  5], [95 18], [120  28], [143  42], [153  54], [166  62], [170  71], [172  75]]",79,5,172,75,8,119.673,0.3448,0.3596,0.0918,,,,35.9863,
"[[72 95], [ 75 118], [ 72 144], [ 93 162], [111 170]]",72,95,111,170,5,96.7237,0.2353,0.3719,0.0806,,,,34.2564,
"[[153 122], [154 137], [130 123], [112 121], [ 94 127], [ 89 129], [ 69 135], [ 45 136], [ 37 133], [ 18 138]]",153,122,18,138,10,158.3801,0.4324,0.372,0.3694,,,,37.5157,
"[[ 31 157], [ 37 154], [ 54 146], [ 59 143], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [153  54], [156  59]]",31,157,156,59,16,225.2679,1.0,0.6293,0.276,,,,46.1107,
"[[128 185], [118 177], [109 171], [102 168], [ 93 162], [ 72 144], [ 74 119], [72 95]]",128,185,72,95,8,118.877,0.2759,0.4757,0.2994,,,,34.9953,
"[[138 180], [122 173], [111 170], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [50 98], [43 91]]",138,180,43,91,9,138.7321,0.3939,0.4206,0.2475,,,,36.8247,
"[[95 18], [81  5], [60 51], [81 66], [100  83], [113  89], [123 101], [128 108]]",95,18,128,108,8,159.5145,0.931,0.9031,0.8865,,,,44.6538,
"[[171  41], [148  33], [166  62], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [108 118], [ 89 129], [ 79 133], [ 59 143], [ 54 146], [ 39 157]]",171,41,39,157,16,255.288,0.9016,0.6375,0.0515,,,,44.9182,
"[[117  89], [117  76]]",117,89,117,76,2,13.0,0.0,0.0559,0.0412,,,,30.293,
"[[50 98], [ 51 123], [ 59 143], [ 67 156]]",50,98,67,156,4,61.825,0.0,0.0264,0.0456,,,,30.642,
"[[ 75 132], [ 89 129], [108 118], [123 101], [129  79]]",75,132,129,79,5,81.7474,0.2941,0.1443,0.117,,,,34.9901,
"[[ 45 101], [50 98], [61 92], [74 87], [91 82], [117  89], [130  95]]",45,101,130,95,7,91.253,0.08,0.1098,0.0773,,,,31.9965,
"[[ 79 133], [ 72 144], [ 93 162], [102 168], [117 165], [138 165]]",79,133,138,165,6,87.8108,0.381,0.3873,0.1625,,,,36.2761,
"[[ 84 112], [ 73 101], [73 96], [69 73], [65 63], [63 58], [60 51], [81  5], [105  27]]",84,112,105,27,9,150.7973,0.6061,0.6819,0.6695,,,,39.9454,
"[[ 79 133], [ 74 119], [62 96], [59 81], [51 83]]",79,133,51,83,5,64.3516,0.1765,0.1195,0.0401,,,,33.1841,
"[[121 179], [118 177], [109 171], [102 168], [ 90 162], [ 68 145], [ 51 123]]",121,179,51,123,7,91.0601,0.0,0.0876,0.0023,,,,30.8511,
"[[118 178], [138 180]]",118,178,138,180,2,20.0998,0.2,0.053,0.044,,,,33.2037,
"[[117  89], [123 101], [128 115], [131 120], [144 127], [144 147], [125 158], [117 165], [111 170], [108 175]]",117,89,108,175,10,115.1041,0.6486,0.5939,0.5191,,,,40.298,
"[[ 67 156], [ 59 152], [ 40 158]]",67,156,40,158,3,28.8691,0.0,0.0605,0.0318,,,,30.4064,
"[[110 117], [108 118], [ 89 129], [ 76 137], [ 77 161], [ 90 173]]",110,117,90,173,6,81.1675,0.0952,0.2606,0.0303,,,,32.1417,
"[[128 115], [121 110], [119 108], [113  89], [100  83], [90 74], [65 63]]",128,115,65,63,7,86.4401,0.24,0.4391,0.1265,,,,34.25,
"[[137 162], [131 165], [111 170], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [61 92]]",137,162,61,92,8,128.0105,0.3448,0.5658,0.3189,,,,36.0459,
"[[127 179], [109 171], [102 168], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [66 86], [61 58]]",127,179,61,58,9,153.6365,0.3636,0.5358,0.3236,,,,36.498,
"[[125 158], [135 154], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54], [143  42], [120  28], [99 23]]",125,158,99,23,11,201.6092,1.0,0.768,0.5562,,,,45.9415,
"[[ 71 140], [ 76 137], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [174  93], [187  68], [184  62]]",71,140,184,62,12,154.4951,0.4222,0.485,0.2217,,,,37.3421,
"[[44 71], [61 92], [62 96], [ 71 116], [ 75 132]]",44,71,75,132,5,69.5658,0.4706,0.1674,0.0342,,,,37.427,
"[[135  28], [132  30], [123  45], [125  44]]",135,28,125,44,4,23.3345,0.8462,0.1289,0.0519,,,,42.4675,
"[[153 122], [144 147], [135 154]]",153,122,135,154,3,37.9724,0.0,0.1367,0.0729,,,,30.4715,
"[[ 97 113], [ 95 117], [ 89 128], [ 84 134]]",97,113,84,134,4,24.8123,0.0,0.0412,0.0225,,,,30.3774,
"[[72 95], [46 95], [39 88]]",72,95,39,88,3,35.8995,0.3333,0.0652,0.1486,,,,35.2229,
"[[101 128], [112 121], [130 123], [144 127], [144 147], [138 153], [131 165]]",101,128,131,165,7,88.0871,0.52,0.5374,0.4433,,,,38.2658,
"[[138 180], [141 172], [149 155], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54], [143  42], [130  35], [112  25]]",138,180,112,25,12,198.2008,1.0,0.7449,0.5503,,,,45.9171,
"[[63 58], [60 51], [81  5]]",63,58,81,5,3,58.1826,0.6667,0.7154,0.582,,,,40.1498,
"[[123  87], [125 101], [121 110]]",123,87,121,110,3,23.991,0.0,0.0331,0.0745,,,,30.3715,
"[[126  89], [125 101], [131 120], [144 127], [144 147], [125 158], [102 168]]",126,89,102,168,7,113.7656,0.64,0.5978,0.5458,,,,40.1654,
"[[ 18 138], [ 25 128], [ 29 120], [ 42 103], [46 95], [50 81], [56 72], [60 51], [81  5], [112  25]]",18,138,112,25,10,185.709,0.9189,0.8496,0.8371,,,,44.6681,
"[[111  80], [117  89], [123 101], [128 115], [131 120], [144 127], [144 147], [137 162]]",111,80,137,162,8,96.2479,0.4138,0.6385,0.4721,,,,36.8055,
"[[ 76 137], [ 89 129], [108 118], [116 110], [113  89], [111  80]]",76,137,111,80,6,78.9653,0.2857,0.1784,0.0244,,,,34.8501,
"[[68 53], [69 73], [72 95], [ 75 118], [ 72 144]]",68,53,72,144,5,91.5959,0.2941,0.3529,0.0788,,,,35.0605,
"[[116 116], [121 110], [125 101], [130  95], [138  84]]",116,116,138,84,5,39.0708,0.0,0.1393,0.0742,,,,30.4794,
"[[ 25 128], [ 45 136], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [162  69]]",25,128,162,69,13,207.2377,0.449,0.6531,0.1248,,,,38.1024,
"[[131 125], [112 121], [ 99 120], [ 75 118], [ 51 123], [ 33 127]]",131,125,33,127,6,99.4925,0.0952,0.1385,0.1364,,,,32.2727,
"[[138  45], [143  42], [172  47]]",138,45,172,47,3,35.2588,0.3333,0.2223,0.1135,,,,35.2183,
