N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;56;2.0;0.2;0.21;0.19;0.09;0.3;0.0;0;0
3;56;1.91;0.23;0.15;0.18;0.09;0.36;1;1;0
1;57;-0.23;0.18;0.22;0.2;0.11;0.3;0.0;0;0
2;57;0.3;0.24;0.19;0.15;0.08;0.34;1;1;0
1;58;0.66;0.23;0.13;0.15;0.11;0.38;1;1;0
1;59;0.67;0.19;0.17;0.22;0.1;0.33;0.0;0;0
1;60;0.68;0.2;0.16;0.16;0.07;0.41;-0.02;0;0
2;60;0.69;0.23;0.16;0.14;0.07;0.41;-0.02;0;0
3;60;0.68;0.26;0.16;0.15;0.08;0.35;-0.01;0;0
4;60;0.66;0.21;0.19;0.17;0.08;0.35;0.0;0;0
1;61;0.63;0.21;0.16;0.2;0.08;0.34;-0.0;0;0
2;61;0.67;0.2;0.17;0.2;0.07;0.36;0.0;0;0
3;61;0.66;0.21;0.17;0.21;0.08;0.33;-0.0;0;0
1;62;0.67;0.21;0.15;0.2;0.08;0.36;0.0;0;0
2;62;0.67;0.2;0.15;0.2;0.08;0.37;0.0;0;0
1;63;0.64;0.21;0.11;0.19;0.09;0.4;0.01;0;0
2;63;0.63;0.18;0.12;0.22;0.11;0.37;0.01;0;0
3;63;0.59;0.24;0.14;0.18;0.09;0.35;0.0;0;0
1;64;0.63;0.2;0.23;0.17;0.08;0.31;0.0;0;0
2;64;0.63;0.21;0.22;0.18;0.09;0.29;0.02;0;0
3;64;0.66;0.21;0.2;0.16;0.08;0.34;0.01;0;0
4;64;0.65;0.19;0.2;0.19;0.08;0.34;-0.02;0;0
5;64;0.6;0.25;0.18;0.17;0.08;0.33;-0.01;0;0
6;64;0.65;0.23;0.18;0.15;0.07;0.37;-0.0;0;0
1;65;-0.04;0.31;0.17;0.16;0.11;0.25;-0.02;0;0
2;65;0.13;0.27;0.21;0.16;0.12;0.23;-0.01;0;0
3;65;0.27;0.3;0.16;0.15;0.12;0.28;1;1;0
1;66;0.69;0.2;0.15;0.2;0.11;0.33;0.0;0;0
2;66;0.61;0.25;0.15;0.17;0.12;0.31;0.0;0;0
3;66;0.65;0.27;0.13;0.15;0.08;0.37;-0.0;0;0
4;66;0.61;0.22;0.15;0.18;0.08;0.36;1;1;0
1;67;-0.01;0.23;0.15;0.17;0.12;0.34;0.0;0;0
2;67;0.55;0.23;0.14;0.16;0.1;0.37;1;1;0
1;68;-0.48;0.21;0.19;0.16;0.16;0.28;0.0;0;0
2;68;-0.19;0.21;0.17;0.18;0.1;0.33;0.0;0;0
3;68;0.21;0.23;0.16;0.16;0.07;0.39;-0.01;0;0
1;69;0.65;0.21;0.21;0.17;0.08;0.33;-0.01;0;0
2;69;0.62;0.24;0.2;0.16;0.05;0.36;-0.03;0;0
3;69;0.67;0.22;0.17;0.18;0.08;0.35;-0.01;0;0
4;69;0.65;0.21;0.17;0.15;0.06;0.41;1;1;0
1;70;0.41;0.21;0.24;0.15;0.1;0.31;0.0;0;0
2;70;0.46;0.23;0.22;0.17;0.09;0.29;0.0;0;0
3;70;0.06;0.23;0.23;0.18;0.09;0.27;0.01;0;0
4;70;0.56;0.25;0.21;0.17;0.09;0.28;1;1;0
1;71;0.68;0.2;0.15;0.19;0.09;0.36;0.0;0;0
2;71;0.69;0.24;0.15;0.2;0.1;0.32;0.0;0;0
3;71;0.62;0.25;0.16;0.18;0.1;0.32;0.0;0;0
4;71;0.65;0.22;0.19;0.16;0.06;0.37;-0.01;0;0
1;72;0.24;0.17;0.16;0.22;0.11;0.35;0.0;0;0
2;72;0.4;0.21;0.17;0.16;0.07;0.39;-0.0;0;0
1;73;0.61;0.2;0.17;0.2;0.1;0.31;1;1;0
1;74;0.4;0.22;0.24;0.14;0.08;0.32;0.0;0;0
2;74;0.65;0.3;0.16;0.14;0.1;0.3;-0.0;0;0
3;74;0.63;0.24;0.16;0.18;0.09;0.34;-0.0;0;0
4;74;0.65;0.22;0.16;0.17;0.09;0.35;1;1;0
1;75;-0.11;0.25;0.22;0.15;0.17;0.21;0.01;0;0
2;75;-0.15;0.23;0.25;0.16;0.16;0.21;1;1;0
1;76;-0.32;0.24;0.19;0.17;0.12;0.28;0.0;0;0
2;76;-0.48;0.28;0.21;0.16;0.12;0.22;0.0;0;0
3;76;-0.45;0.31;0.16;0.14;0.09;0.3;0.0;0;0
