N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;37;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;37;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;37;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;37;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;37;0.01;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
1;38;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
2;38;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;38;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;38;0.03;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;38;0.03;0.2;0.2;0.2;0.2;0.2;0.0;0;0
6;38;0.01;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;39;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;39;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;39;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;39;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;39;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
6;39;0.01;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
1;40;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;40;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;40;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;41;-0.57;0.14;0.29;0.3;0.13;0.15;-0.01;0;0
2;41;-0.7;0.26;0.29;0.18;0.15;0.13;0.0;0;0
3;41;-0.88;0.25;0.23;0.24;0.14;0.15;-0.01;0;0
4;41;-0.89;0.19;0.17;0.23;0.2;0.22;-0.01;0;0
5;41;-0.82;0.15;0.16;0.27;0.23;0.2;-0.0;0;0
6;41;-0.85;0.18;0.15;0.31;0.17;0.19;0.0;0;0
1;42;-0.57;0.14;0.29;0.3;0.13;0.15;-0.0;0;0
2;42;-0.78;0.3;0.3;0.19;0.1;0.1;0.01;0;0
3;42;-0.26;0.35;0.27;0.21;0.08;0.09;1;1;0
1;43;-0.57;0.14;0.29;0.3;0.13;0.15;-0.0;0;0
2;43;-0.78;0.3;0.3;0.19;0.1;0.1;-0.01;0;0
3;43;-0.76;0.27;0.26;0.2;0.13;0.14;0.01;0;0
4;43;-0.85;0.17;0.16;0.22;0.23;0.22;0.01;0;0
5;43;-0.91;0.14;0.12;0.24;0.27;0.23;0.01;0;0
6;43;-0.88;0.16;0.14;0.38;0.14;0.18;0.0;0;0
1;44;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;44;-0.56;0.26;0.2;0.2;0.14;0.19;-0.01;0;0
3;44;-0.75;0.29;0.24;0.2;0.13;0.14;-0.02;0;0
4;44;-0.99;0.22;0.18;0.2;0.19;0.2;-0.01;0;0
5;44;-0.82;0.15;0.16;0.27;0.23;0.2;-0.0;0;0
6;44;-0.85;0.18;0.15;0.31;0.17;0.19;0.0;0;0
1;45;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;45;-0.44;0.52;0.28;0.12;0.04;0.04;1;1;0
1;46;-0.57;0.14;0.29;0.3;0.13;0.15;-0.01;0;0
2;46;-0.7;0.26;0.29;0.18;0.15;0.13;-0.01;0;0
3;46;-0.76;0.27;0.26;0.2;0.13;0.14;0.0;0;0
4;46;-0.87;0.19;0.18;0.21;0.21;0.21;0.0;0;0
5;46;-0.81;0.15;0.13;0.23;0.26;0.22;0.0;0;0
6;46;-0.91;0.15;0.14;0.37;0.16;0.19;-0.0;0;0
1;47;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;47;-0.55;0.3;0.27;0.19;0.12;0.13;0.02;0;0
3;47;-0.26;0.35;0.27;0.21;0.08;0.09;1;1;0
1;48;-0.57;0.14;0.29;0.3;0.13;0.15;-0.0;0;0
2;48;-0.78;0.3;0.3;0.19;0.1;0.1;0.0;0;0
3;48;-0.88;0.25;0.23;0.24;0.14;0.15;0.01;0;0
4;48;-0.87;0.19;0.18;0.21;0.21;0.21;0.0;0;0
5;48;-0.81;0.15;0.13;0.23;0.26;0.22;0.01;0;0
6;48;-0.83;0.18;0.15;0.36;0.15;0.16;0.0;0;0
1;49;-0.57;0.14;0.29;0.3;0.13;0.15;-0.01;0;0
2;49;-0.7;0.26;0.29;0.18;0.15;0.13;-0.01;0;0
3;49;-0.75;0.29;0.24;0.2;0.13;0.14;0.01;0;0
4;49;-1.01;0.15;0.14;0.19;0.27;0.26;0.02;0;0
5;49;-0.78;0.15;0.15;0.25;0.24;0.22;-0.01;0;0
6;49;-0.91;0.15;0.14;0.37;0.16;0.19;-0.0;0;0
1;50;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;50;-0.55;0.3;0.27;0.19;0.12;0.13;0.02;0;0
3;50;-0.26;0.35;0.27;0.21;0.08;0.09;1;1;0
1;51;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;51;-0.55;0.3;0.27;0.19;0.12;0.13;0.02;0;0
3;51;-0.26;0.35;0.27;0.21;0.08;0.09;0.0;0;0
4;51;-0.89;0.19;0.17;0.23;0.2;0.22;-0.01;0;0
5;51;-1.03;0.15;0.17;0.32;0.2;0.16;-0.01;0;0
6;51;-0.85;0.18;0.15;0.31;0.17;0.19;0.0;0;0
1;52;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;52;-0.56;0.26;0.2;0.2;0.14;0.19;-0.01;0;0
3;52;-0.75;0.29;0.24;0.2;0.13;0.14;1;1;0
1;53;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;53;-0.44;0.52;0.28;0.12;0.04;0.04;1;1;0
1;54;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;54;-0.56;0.26;0.2;0.2;0.14;0.19;0.01;0;0
3;54;-0.88;0.25;0.23;0.24;0.14;0.15;0.01;0;0
4;54;-0.87;0.19;0.18;0.21;0.21;0.21;0.01;0;0
5;54;-0.91;0.14;0.12;0.24;0.27;0.23;0.01;0;0
6;54;-0.88;0.16;0.14;0.38;0.14;0.18;0.0;0;0
1;55;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;55;-0.55;0.3;0.27;0.19;0.12;0.13;-0.01;0;0
3;55;-0.74;0.25;0.26;0.21;0.14;0.14;1;1;0
1;56;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;56;-0.44;0.52;0.28;0.12;0.04;0.04;1;1;0
1;57;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;57;-0.56;0.26;0.2;0.2;0.14;0.19;0.0;0;0
3;57;-0.74;0.25;0.26;0.21;0.14;0.14;-0.02;0;0
4;57;-0.84;0.22;0.19;0.21;0.17;0.2;-0.01;0;0
5;57;-0.84;0.12;0.13;0.19;0.29;0.27;-0.0;0;0
6;57;-0.91;0.15;0.14;0.37;0.16;0.19;-0.0;0;0
1;58;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;58;-0.55;0.3;0.27;0.19;0.12;0.13;0.0;0;0
3;58;-0.76;0.27;0.26;0.2;0.13;0.14;1;1;0
1;59;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;59;-0.55;0.3;0.27;0.19;0.12;0.13;-0.01;0;0
3;59;-0.75;0.29;0.24;0.2;0.13;0.14;-0.01;0;0
4;59;-0.87;0.19;0.18;0.21;0.21;0.21;0.01;0;0
5;59;-0.91;0.14;0.12;0.24;0.27;0.23;0.01;0;0
6;59;-0.85;0.18;0.15;0.31;0.17;0.19;0.0;0;0
1;60;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;60;-0.55;0.3;0.27;0.19;0.12;0.13;0.01;0;0
3;60;-0.88;0.25;0.23;0.24;0.14;0.15;0.0;0;0
4;60;-0.84;0.23;0.2;0.23;0.17;0.17;0.0;0;0
5;60;-0.81;0.15;0.13;0.23;0.26;0.22;0.01;0;0
6;60;-0.83;0.18;0.15;0.36;0.15;0.16;0.0;0;0
1;61;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;61;-0.55;0.3;0.27;0.19;0.12;0.13;0.0;0;0
3;61;-0.76;0.27;0.26;0.2;0.13;0.14;1;1;0
1;62;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;62;-0.56;0.26;0.2;0.2;0.14;0.19;0.0;0;0
3;62;-0.74;0.25;0.26;0.21;0.14;0.14;0.0;0;0
4;62;-0.87;0.19;0.18;0.21;0.21;0.21;0.0;0;0
5;62;-1.03;0.15;0.17;0.32;0.2;0.16;-0.01;0;0
6;62;-0.91;0.15;0.14;0.37;0.16;0.19;-0.0;0;0
1;63;-0.57;0.14;0.29;0.3;0.13;0.15;-0.0;0;0
2;63;-0.78;0.3;0.3;0.19;0.1;0.1;-0.01;0;0
3;63;-0.76;0.27;0.26;0.2;0.13;0.14;0.01;0;0
4;63;-0.85;0.17;0.16;0.22;0.23;0.22;0.01;0;0
5;63;-0.84;0.12;0.13;0.19;0.29;0.27;0.01;0;0
