Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Prob_collision_robotino_object_detection_error
"[[128  69], [126  87]]",128,69,126,87,2,18.1108,0,0.0494,0.0476,,,,
"[[166  88], [164  91], [154 116], [149 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [96 99], [92 82], [91 69]]",166,88,91,69,16,216.0246,0.8852,0.6785,0.6754,,,,
"[[108 169], [107 170], [ 94 162], [ 87 148], [ 82 140], [ 73 126]]",108,169,73,126,6,58.4083,0.381,0.2018,0.1725,,,,
"[[95 30], [97 32], [95 68], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [154 116], [164  91], [195  60]]",95,30,195,60,16,295.7661,1,0.5627,0.5294,,,,
"[[122  50], [113  60], [119  82], [123  91], [127 101]]",122,50,127,101,5,56.8763,1,0.3037,0.2787,,,,
"[[158 136], [150 147], [148 149], [146 152], [137 156], [121 164], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [91 96], [95 68], [97 32]]",158,136,97,32,15,211.7452,0.386,0.8416,0.4738,,,,
"[[ 50 133], [ 56 132], [ 73 126], [ 79 123], [ 99 117], [106 114], [112 111], [133 106]]",50,133,133,106,8,87.6103,0,0.0793,0.1438,,,,
"[[ 97 105], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [102 171], [109 162]]",97,105,109,162,7,83.2505,0.28,0.4651,0.1612,,,,
"[[78  0], [85  3], [98  8], [97 32], [95 68], [98 95], [101 114], [106 133]]",78,0,106,133,8,147.6689,0.6897,0.9806,0.7142,,,,
"[[122 122], [117 107], [115  97], [119  82]]",122,122,119,82,4,41.5336,0,0.1876,0.0684,,,,
"[[140 160], [138 158]]",140,160,138,158,2,2.8284,0,0.0683,0.0288,,,,
"[[ 55 123], [ 57 134], [ 72 151]]",55,123,72,151,3,33.8519,0,0.0667,0.0313,,,,
"[[ 58 116], [ 77 120], [ 95 115], [91 96], [95 68]]",58,116,95,68,5,85.7988,0.4118,0.3326,0.0774,,,,
"[[ 83 124], [ 93 113], [ 97 105], [104  93], [109  80], [108  74], [104  70]]",83,124,104,70,7,63.3708,0.56,0.2819,0.1006,,,,
"[[137 156], [139 153], [148 149]]",137,156,148,149,3,13.4544,0,0.0034,0.0781,,,,
"[[145  76], [137  72], [131  69], [111  63], [98 60], [78 65]]",145,76,78,65,6,70.4903,0.0476,0.0822,0.0448,,,,
"[[119 156], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 135]]",119,156,94,135,7,64.1256,0.24,0.3934,0.1976,,,,
"[[153 133], [138 150], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 99 143]]",153,133,99,143,9,104.1477,0.3939,0.665,0.198,,,,
"[[123  91], [120  93], [116 101], [112 111], [102 122], [ 91 132], [ 76 143]]",123,91,76,143,7,71.6534,0,0.1292,0.0146,,,,
"[[97 55], [95 68], [98 95], [ 93 113], [ 84 123], [ 80 134], [ 76 143], [ 72 151], [ 70 155]]",97,55,70,155,9,107.4242,0.7576,0.3337,0.1579,,,,
"[[131  90], [104  93], [94 97]]",131,90,94,97,3,37.9365,0.1111,0.1706,0.0067,,,,
"[[ 50 133], [ 57 140], [ 72 151], [ 82 159], [102 166], [108 169], [130 165]]",50,133,130,165,7,91.5653,0.28,0.1964,0.1463,,,,
"[[78 65], [79 73], [91 96], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [111 173], [ 99 185]]",78,65,99,185,9,140.2492,1,0.4868,0.0733,,,,
"[[169 111], [157 127], [153 147]]",169,111,153,147,3,40.3961,0.4444,0.1607,0.1449,,,,
"[[138 150], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [110 122], [116 117], [121 114]]",138,150,121,114,13,117.0597,0.3265,0.817,0.0894,,,,
"[[96 46], [105  62], [117  79], [119  82], [120  83]]",96,46,120,83,5,44.186,0,0.0703,0.0062,,,,
"[[117  90], [110 104], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [137 153]]",117,90,137,153,11,131.0632,0.6829,0.7782,0.2818,,,,
"[[ 78 116], [ 85 118], [ 95 115], [ 97 105], [104  93], [108  84], [113  78], [128  69], [154  58]]",78,116,154,58,9,105.1941,0.2727,0.3289,0.2441,,,,
"[[185  44], [154  58], [128  69], [119  82], [117  90], [110 104], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [102 171], [109 162]]",185,44,109,162,13,190.8261,1,0.7525,0.7442,,,,
"[[91 58], [111  63], [128  69], [154  58], [185  44]]",91,58,185,44,5,100.8892,1,0.365,0.266,,,,
"[[102 166], [ 91 169], [ 87 148], [ 91 132], [ 95 123], [ 94 105], [89 98], [84 87], [78 65]]",102,166,78,65,9,120.6372,0.6364,0.4452,0.1724,,,,
"[[130 165], [122 166], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [110 122], [116 117], [121 114], [131  98], [138  85]]",130,165,138,85,13,136.7197,0.4286,0.6177,0.0857,,,,
"[[131  70], [127  76], [120  83], [117  90], [110 104], [106 114], [102 122], [ 91 132], [ 82 140], [ 72 151]]",131,70,72,151,10,101.8672,0.2432,0.2756,0.0399,,,,
"[[163 105], [153 124], [149 133], [136 147], [120 154], [109 164]]",163,105,109,164,6,82.7551,0.8571,0.2904,0.0816,,,,
"[[113 130], [106 133], [ 97 137], [ 87 148], [ 94 162], [107 170], [125 176], [138 180]]",113,130,138,180,8,95.8226,0.3103,0.6371,0.1773,,,,
"[[110  59], [98 60], [78 65]]",110,59,78,65,3,32.6571,0.1111,0.0234,0.0448,,,,
"[[ 56 132], [ 57 134], [ 72 151], [ 82 159], [102 166], [118 159], [136 147], [149 133], [153 124], [173  98], [175  96]]",56,132,175,96,11,162.5858,0.4634,0.3625,0.3479,,,,
"[[ 81 123], [ 83 124], [ 93 113], [ 94 105], [89 98], [80 78], [75 72]]",81,123,75,72,7,63.5087,0.4,0.3213,0.0802,,,,
"[[ 56 132], [ 55 122]]",56,132,55,122,2,10.0499,0,0.0564,0.0406,,,,
"[[ 56 132], [ 74 122], [ 85 118], [101 114], [116 101], [120  93]]",56,132,120,93,6,77.5821,0.3333,0.0413,0.0613,,,,
"[[ 58 116], [ 77 120], [ 95 115], [91 96], [79 78]]",58,116,79,78,5,79.1478,0.4706,0.35,0.2318,,,,
"[[80 59], [88 73], [92 82], [95 90], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [111 173], [ 99 185]]",80,59,99,185,11,147.4002,1,0.5484,0.0733,,,,
"[[108  74], [109  80], [104  93], [ 97 105], [ 93 113], [ 83 124], [ 76 129]]",108,74,76,129,7,66.3163,0.52,0.2244,0.1022,,,,
"[[106 133], [ 97 137], [ 82 140], [ 57 140]]",106,133,57,140,4,50.1459,0,0.0457,0.0394,,,,
"[[ 55 123], [ 66 123], [ 77 120], [ 95 115], [ 97 105], [111  95], [117  90]]",55,123,117,90,7,76.2962,0.32,0.1384,0.1383,,,,
"[[167 108], [157 127], [151 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 135], [103 118]]",167,108,103,118,12,152.6524,0.4222,0.7899,0.7838,,,,
"[[107 170], [108 169], [114 164], [136 147], [151 133]]",107,170,151,133,5,57.5456,0.2353,0.2297,0.2103,,,,
"[[ 99 117], [ 81 123], [ 73 126], [ 57 134], [ 48 133]]",99,117,48,133,5,54.4616,0,0.0352,0.0302,,,,
"[[ 99 143], [103 128], [105 126], [112 111], [116 101], [119  96], [123  91], [137  72], [148  52], [152  56]]",99,143,152,56,10,109.9931,0.3243,0.4764,0.1281,,,,
"[[109  80], [104  93], [ 97 105], [ 95 115], [ 85 118], [ 74 122], [ 57 124]]",109,80,57,124,7,77.2811,0.24,0.1259,0.0465,,,,
"[[156 115], [153 124], [149 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 75 136], [ 66 123], [ 58 115]]",156,115,58,115,13,150.714,0.4286,0.6694,0.1808,,,,
"[[ 54 131], [ 56 132], [ 73 126], [ 83 124], [ 93 113], [ 94 105], [89 98], [84 87], [78 65]]",54,131,78,65,9,96.8791,0.303,0.3743,0.2763,,,,
"[[ 77 120], [ 80 126], [ 87 148], [ 94 162], [107 170], [129 171]]",77,120,129,171,6,82.7345,0.381,0.3568,0.2215,,,,
"[[127  76], [120  93], [116 101], [112 111], [110 118], [105 132]]",127,76,105,132,6,60.2456,0,0.1844,0.0942,,,,
"[[149  54], [148  52], [137  72], [134  74], [120  92], [116 101], [112 111], [105 126], [103 128], [ 97 137], [ 87 148], [ 91 169], [102 166]]",149,54,102,166,13,149.9331,0.898,0.7339,0.7135,,,,
"[[109 125], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [163 105]]",109,125,163,105,11,150.2055,0.4146,0.6332,0.4316,,,,
"[[ 84 123], [ 80 134], [ 86 156]]",84,123,86,156,3,34.5082,0,0.0204,0.0221,,,,
"[[102 139], [ 94 143], [ 87 148], [ 94 162], [111 173], [ 99 185]]",102,139,99,185,6,70.4181,1,0.4168,0.0733,,,,
"[[137 153], [130 165], [123 173]]",137,153,123,173,3,24.5226,0,0.0155,0.0494,,,,
"[[109 125], [101 114], [ 97 105], [94 97], [92 93]]",109,125,92,93,5,36.4665,0,0.0906,0.0133,,,,
"[[90 65], [94 81], [98 95], [ 93 113], [ 84 123], [ 79 123]]",90,65,79,123,6,68.1878,0.2857,0.1533,0.052,,,,
"[[145  76], [137  72], [128  69], [108  74], [101  73], [79 78]]",145,76,79,78,6,68.6787,0.1905,0.0693,0.0164,,,,
"[[116 163], [114 164], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [ 97 105], [104  93], [108  84], [113  60]]",116,163,113,60,12,134.7887,0.5556,0.6396,0.5174,,,,
"[[ 50 124], [ 52 128], [ 57 134], [ 72 151], [ 82 159], [102 166], [113 163], [137 156]]",50,124,137,156,8,105.3516,0.2414,0.2176,0.1564,,,,
"[[92 82], [95 90], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [173  98]]",92,82,173,98,14,198.2558,0.717,0.4994,0.3805,,,,
"[[146  85], [143  83], [131  70]]",146,85,131,70,3,21.2974,0,0.023,0.0475,,,,
"[[96 39], [96 46], [105  69], [108  74], [109  80], [107  84]]",96,39,107,84,6,48.084,0.2381,0.1439,0.0032,,,,
"[[ 55 123], [ 66 123], [ 77 120], [ 95 115], [91 96], [98 71], [97 55], [98  8], [97  8]]",55,123,97,8,9,150.5032,0.303,0.7172,0.3479,,,,
"[[90 65], [94 81], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [173  98], [174  97]]",90,65,174,97,15,216.3477,0.7368,0.4928,0.3832,,,,
"[[98  8], [97 32], [95 68], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [ 97 174]]",98,8,97,174,9,169.4447,0.9697,0.8398,0.8273,,,,
"[[135  85], [108  84]]",135,85,108,84,2,27.0185,0,0.0583,0.0388,,,,
"[[79 73], [91 96], [ 95 115], [ 85 118], [ 74 122], [ 56 116]]",79,73,56,116,6,86.4774,0.4286,0.33,0.0323,,,,
"[[ 96 134], [ 95 123], [ 94 105]]",96,134,94,105,3,29.0731,0.2222,0.0145,0.0501,,,,
"[[94 81], [98 95], [ 93 113], [ 83 124], [ 76 129], [ 57 134]]",94,81,57,134,6,76.357,0.381,0.2086,0.1201,,,,
"[[91 96], [92 93], [92 82], [91 69], [89 40]]",91,96,89,40,5,56.2696,0.4118,0.1913,0.1437,,,,
"[[112 111], [106 114], [ 85 118], [ 66 123]]",112,111,66,123,4,47.7326,0.3077,0.0713,0.0394,,,,
"[[80 78], [84 87], [91 96], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [154 115]]",80,78,154,115,13,180.3544,0.7347,0.6176,0.4227,,,,
"[[ 67 120], [ 76 129], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [160 109], [166  88]]",67,120,166,88,12,169.9737,0.4444,0.458,0.4469,,,,
"[[138  89], [131  90], [107  84], [94 81], [79 78]]",138,89,79,78,5,60.4484,0.3529,0.0513,0.0016,,,,
"[[ 80 164], [ 76 143], [ 76 129]]",80,164,76,129,3,35.3776,0,0.0499,0.0482,,,,
"[[ 50 124], [ 66 123], [ 85 118], [106 114], [110 104]]",50,124,110,104,5,67.826,0.2941,0.0767,0.0752,,,,
"[[ 93 113], [ 97 105], [110 104], [115 101]]",93,113,115,101,4,27.8136,0,0.0225,0.056,,,,
"[[169 111], [157 127], [151 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [114 112], [117 107], [126  87]]",169,111,126,87,16,190.1266,0.4754,0.8001,0.1233,,,,
"[[123  91], [120  93], [116 101], [112 111], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [138 158]]",123,91,138,158,13,133.2642,0.2245,0.8088,0.277,,,,
"[[164  91], [154 116], [149 133], [136 147], [120 154]]",164,91,120,154,5,81.2151,0.8235,0.4407,0.0977,,,,
"[[ 50 124], [ 66 123], [ 77 120], [ 95 115], [96 99]]",50,124,96,99,5,62.1457,0.2353,0.1025,0.0703,,,,
"[[ 87 139], [101 127], [110 118]]",87,139,110,118,3,31.167,0,0.0045,0.0841,,,,
"[[150 137], [153 134], [175 101]]",150,137,175,101,3,43.9037,0.2222,0.2283,0.3022,,,,
"[[95 29], [91 51], [93 73], [98 93], [101 113], [105 126]]",95,29,105,126,6,98.8921,0.2381,0.5149,0.1546,,,,
"[[86 79], [91 97], [ 94 104], [ 92 127], [ 86 150], [ 94 167], [111 162], [124 152], [132 147], [137 144], [156 137], [162 126]]",86,79,162,126,12,174.1067,0.8222,0.6013,0.2749,,,,
"[[120  70], [114  79], [98 93]]",120,70,98,93,3,32.0769,0.2222,0.0354,0.0277,,,,
"[[139 149], [156 137], [162 126], [170 110]]",139,149,170,110,4,51.2272,0.3846,0.4287,0.1664,,,,
"[[80 75], [98 67], [112  77]]",80,75,112,77,3,36.9024,0.1111,0.015,0.0331,,,,
"[[121 178], [100 170], [ 92 157], [ 84 141], [ 85 137], [ 89 122], [ 95 109], [93 88], [98 67]]",121,178,98,67,9,132.2722,0.697,0.5819,0.4178,,,,
"[[ 74 129], [ 79 142], [ 80 145], [ 76 165]]",74,129,76,165,4,37.4867,0.0769,0.0467,0.002,,,,
"[[130  78], [140  84], [143  86]]",130,78,143,86,3,15.2675,0,0.0296,0.0195,,,,
"[[113  59], [111  67], [111  88], [105 104], [101 113], [ 99 115], [ 96 117], [ 83 121], [ 68 126], [ 50 122]]",113,59,50,122,10,110.469,0.4595,0.3781,0.0213,,,,
"[[111 116], [106 124], [ 99 137], [ 97 139], [ 86 150], [ 94 167], [111 162], [128 154], [139 149], [148 129], [162 105]]",111,116,162,105,11,159.6799,0.3415,0.6575,0.3415,,,,
"[[136  66], [132  76], [130  78], [126  89], [122  97], [114 104], [106 120], [104 123], [ 99 137], [ 97 139], [ 86 150], [100 170], [123 172], [147 166]]",136,66,147,166,14,171.8614,0.1698,0.8094,0.2732,,,,
"[[137 103], [129 102], [112  97], [102  91], [98 79]]",137,103,98,79,5,50.0933,0.2941,0.1291,0.0198,,,,
"[[ 94 135], [103 139]]",94,135,103,139,2,9.8489,0,0.0462,0.0508,,,,
"[[182  43], [158  57], [148  51], [143  61], [136  72], [132  76], [130  78], [122  89], [112  97], [105 104], [101 113], [ 99 115], [ 78 119]]",182,43,78,119,13,142.5129,1,0.7684,0.7601,,,,
"[[ 64 114], [ 68 116], [ 88 117], [101 113], [114 104], [122 100]]",64,114,122,100,6,62.8543,0.381,0.1325,0.0996,,,,
"[[148 129], [139 149], [128 154], [111 162], [ 94 167], [ 86 150], [ 91 146], [103 139], [115 126], [129 123]]",148,129,129,123,10,141.6166,0.4865,0.859,0.1761,,,,
"[[ 96 117], [ 99 115], [101 113], [105 104], [111  88], [114  79]]",96,117,114,79,6,42.8577,0.2857,0.1005,0.0282,,,,
"[[131 124], [129 123], [127 121], [111 116], [106 109], [91 97], [89 92], [71 87]]",131,124,71,87,8,73.706,0.1034,0.3836,0.125,,,,
"[[114  79], [111  88], [105 104], [101 113], [ 99 115], [ 92 127], [ 86 150], [ 94 167], [111 162], [128 154], [139 149], [148 129]]",114,79,148,129,12,166.2257,0.3111,0.7888,0.1655,,,,
"[[113 125], [ 99 128], [ 90 134], [ 85 137], [ 79 142], [ 72 145]]",113,125,72,145,6,46.3914,0,0.0093,0.0654,,,,
"[[ 73 146], [ 83 137]]",73,146,83,137,2,13.4536,0,0.0512,0.0459,,,,
"[[126 168], [138 155], [150 142], [156 137], [165 117]]",126,168,165,117,5,65.1256,0.0588,0.2155,0.1782,,,,
"[[135  63], [131  75], [126  89], [122  97]]",135,63,122,97,4,36.4595,0,0.0418,0.041,,,,
"[[ 80 145], [ 85 158]]",80,145,85,158,2,13.9284,0,0.0904,0.0067,,,,
"[[ 81 159], [ 82 157], [ 85 137], [ 89 122], [ 95 109], [93 88], [98 60], [95 29]]",81,159,95,29,8,132.9846,0.4828,0.4558,0.1725,,,,
"[[ 85 137], [ 85 158], [ 73 170]]",85,137,73,170,3,37.9706,1,0.155,0.0004,,,,
"[[114  87], [109  99]]",114,87,109,99,2,13,0,0.0537,0.0434,,,,
"[[ 94 135], [ 99 128], [106 120], [114 104], [122  97], [126  89], [130  81], [132  63]]",94,135,132,63,8,83.7505,0,0.2518,0.0572,,,,
"[[86 79], [91 97], [101 113], [105 121], [107 125]]",86,79,107,125,5,50.9659,0.4706,0.1979,0.2062,,,,
"[[135  63], [131  75], [126  89], [122 100], [111 116], [107 125]]",135,63,107,125,6,68.4852,0,0.2106,0.0769,,,,
"[[134 166], [135 165], [144 151]]",134,166,144,151,3,18.0575,0,0.0106,0.0781,,,,
"[[132  76], [130  74], [121  70], [111  67], [92 78]]",132,76,92,78,5,45.0721,0.1176,0.0131,0.0194,,,,
"[[128 126], [121 109], [122  89], [114  79]]",128,126,114,79,4,51.216,0,0.2609,0.0317,,,,
"[[124  89], [114 104], [106 120], [104 123], [ 99 137], [ 97 139], [ 86 150], [ 94 167], [111 162], [131 158], [138 155], [150 166]]",124,89,150,166,12,153.5717,0.3111,0.8533,0.0872,,,,
"[[137  93], [131 105], [129 111], [125 128]]",137,93,125,128,4,37.2052,0.0769,0.1354,0.1423,,,,
"[[ 92 135], [ 89 122]]",92,135,89,122,2,13.3417,0,0.0832,0.0139,,,,
"[[ 81 157], [ 91 146], [103 139], [115 126], [125 128]]",81,157,125,128,5,56.6484,0.4706,0.1488,0.157,,,,
"[[ 54 117], [ 65 131], [ 70 141], [ 73 146], [ 75 148], [ 81 157], [ 94 167], [100 170], [113 176], [136 188]]",54,117,136,188,10,111.8304,0.0541,0.1605,0.0755,,,,
"[[159 135], [156 137], [150 142], [131 148], [111 162], [ 94 167], [ 86 150], [ 83 137]]",159,135,83,137,8,105.6038,0.3448,0.5203,0.4694,,,,
"[[104 138], [103 137], [ 99 128], [ 96 117], [ 95 109], [93 88], [98 60], [95 29], [102  35]]",104,138,102,35,9,120.6294,0.3333,0.5755,0.2221,,,,
"[[128  62], [96 51]]",128,62,96,51,2,33.8378,0,0.0353,0.0618,,,,
"[[134 182], [121 178], [100 170], [ 86 150], [ 97 139], [ 99 137], [105 126]]",134,182,105,126,7,91.4015,0.4,0.3987,0.069,,,,
"[[ 72 150], [ 75 148], [ 80 145], [ 90 134], [ 99 128], [105 121]]",72,150,105,121,6,44.3388,0,0.02,0.0584,,,,
"[[122  89], [122  82], [129  63]]",122,89,129,63,3,27.2485,0,0.0163,0.0619,,,,
"[[ 80 145], [ 84 141], [ 92 127], [ 99 115], [101 113], [105 104]]",80,145,105,104,6,48.3511,0.0952,0.0402,0.0509,,,,
"[[137  69], [135  86]]",137,69,135,86,2,17.1172,0,0.0486,0.0485,,,,
"[[120  75], [114  87], [105 104], [101 113], [ 99 115], [ 95 126], [ 85 137], [ 79 142]]",120,75,79,142,8,79.7101,0.069,0.1725,0.0426,,,,
"[[135  86], [130  94], [121 109], [117 120], [115 123], [113 125], [104 138], [103 139], [ 91 146], [ 86 150], [100 170], [124 175]]",135,86,124,175,12,131.5151,0.2444,0.774,0.2593,,,,
"[[111  88], [109  99]]",111,88,109,99,2,11.1803,0,0.0546,0.0425,,,,
"[[ 94 167], [111 162], [124 152], [132 147], [137 144], [156 137]]",94,167,156,137,6,69.6347,0.381,0.2421,0.2172,,,,
"[[ 94 104], [ 92 127], [ 86 150], [ 94 167], [111 162], [124 152], [136 144]]",94,104,136,144,7,114.1883,1,0.6551,0.1513,,,,
"[[76 83], [82 88], [91 97], [ 94 104], [ 92 127], [ 90 134]]",76,83,90,134,6,58.5208,0.381,0.0923,0.0011,,,,
"[[137 144], [132 147], [131 148], [111 162], [ 94 167], [ 92 157], [ 84 141]]",137,144,84,141,7,77.4649,0.48,0.3015,0.0124,,,,
"[[107  30], [97 28], [91 51], [92 78], [ 94 104], [ 92 127], [ 86 150], [ 94 167], [105 166]]",107,30,105,166,9,163.7533,0.8182,0.6242,0.0471,,,,
"[[74 85], [82 88], [91 97], [ 94 104], [ 92 127], [ 86 150], [ 94 167], [109 165]]",74,85,109,165,8,109.6653,0.6207,0.2871,0.058,,,,
"[[ 64 125], [ 83 121], [ 92 118], [ 99 115], [101 113], [105 104], [111  88], [114  79], [119  66]]",64,125,119,66,9,89.6996,0.2424,0.1594,0.0298,,,,
"[[86 83], [102  91], [109  99], [112 101], [135 112]]",86,83,135,112,5,57.6193,0.4118,0.2036,0.2095,,,,
"[[129 111], [115 123], [113 125], [104 138], [103 139], [ 91 146], [ 86 150], [ 94 167], [111 162], [128 154], [139 149], [148 129], [162 105]]",129,111,162,105,13,175.885,0.4082,0.6436,0.4839,,,,
"[[ 95 145], [ 99 137], [104 123], [106 120], [111 104], [112  97], [116  80], [115  53]]",95,145,115,53,8,95.7328,0.069,0.3052,0.0886,,,,
"[[164 124], [162 126], [156 137], [150 142], [131 148], [111 162], [ 94 167], [ 86 150], [ 92 127], [ 99 115], [101 113], [106 109]]",164,124,106,109,12,150.9087,0.4222,0.8176,0.8043,,,,
"[[164  86], [162 105], [148 129], [139 149], [128 154], [111 162], [ 94 167], [ 86 150], [ 97 139], [ 99 137], [104 123], [106 120], [111 104], [112 101]]",164,86,112,101,14,192.983,0.9623,0.7558,0.7475,,,,
"[[ 68 126], [ 83 121], [ 92 118], [ 95 109], [93 88], [98 60]]",68,126,98,60,6,84.323,0.0952,0.1883,0.0852,,,,
"[[ 63 142], [ 78 132], [ 89 122], [ 96 117], [ 99 115]]",63,142,99,115,5,45.1017,0,0.0526,0.0184,,,,
"[[135  63], [131  75], [126  89], [122  97], [114 104], [106 120], [104 123], [ 99 137], [ 97 139], [ 86 150], [100 170], [123 172], [133 174]]",135,63,133,174,13,159.5325,0.1429,0.7858,0.2282,,,,
"[[114  79], [111  88], [105 104], [101 113], [ 99 115], [ 92 127], [ 86 150], [ 82 157]]",114,79,82,157,8,84.9766,0.1724,0.1911,0.0218,,,,
"[[ 95 109], [93 88]]",95,109,93,88,2,21.095,0.2,0.045,0.052,,,,
"[[140  74], [126  89], [122  97], [114 104], [101 113], [ 99 115], [ 96 117], [ 89 122], [ 78 132], [ 69 143]]",140,74,69,143,10,100.0191,0.0811,0.3833,0.1465,,,,
"[[ 52 124], [ 57 129], [ 70 141], [ 73 146], [ 75 148], [ 81 157], [ 94 167], [ 99 164]]",52,124,99,164,8,66.4711,0.0345,0.2057,0.0275,,,,
"[[140  84], [135  86], [114  87], [99 86], [98 79]]",140,84,98,79,5,48.5133,0.1765,0.0527,0.0002,,,,
"[[113  59], [111  67], [111  88], [105 104], [101 113], [ 99 115], [ 92 127], [ 86 150], [ 94 167], [111 162], [128 154], [139 149]]",113,59,139,149,12,164.0534,0.6667,0.6837,0.6837,,,,
"[[ 85 137], [ 89 122], [ 95 109], [88 96]]",85,137,88,96,4,44.6068,0.4615,0.2417,0.0155,,,,
"[[ 48 126], [ 52 124], [ 70 118], [ 84 116]]",48,126,84,116,4,37.5879,0.2308,0.0566,0.0404,,,,
"[[121  70], [114  87], [105 104], [101 113], [ 99 115], [ 92 127], [ 86 150], [ 94 167], [111 162], [128 154], [139 149]]",121,70,139,149,11,155.3393,0.6829,0.7038,0.0992,,,,
"[[ 52 124], [ 57 129], [ 70 141], [ 73 146], [ 75 148], [ 81 157], [ 94 167], [111 162], [128 154], [139 149], [148 129], [162 105], [166  97]]",52,124,166,97,13,167.8924,0.2653,0.4457,0.3953,,,,
"[[131 124], [129 123], [127 121], [121 109], [114 104], [112 101], [111 100], [102  91], [99 86], [98 67]]",131,124,98,67,10,69.6882,0.2162,0.3748,0.0431,,,,
"[[132 147], [144 151]]",132,147,144,151,2,12.6491,0,0.0173,0.1143,,,,
"[[126 168], [109 165], [ 94 167], [ 85 158], [ 73 146], [ 72 145], [ 65 131], [ 50 114]]",126,168,50,114,8,101.8322,0.4483,0.1922,0.0098,,,,
"[[132 147], [124 152]]",132,147,124,152,2,9.434,0.2,0.0141,0.083,,,,
"[[79 62], [84 75], [86 79], [91 97], [ 94 104], [ 92 127], [ 90 134], [ 85 158]]",79,62,85,158,8,99.58,0.3793,0.2797,0.2157,,,,
"[[136 144], [131 148], [111 162], [ 94 167], [ 86 150], [ 92 127], [ 99 115], [101 113]]",136,144,101,113,8,107.8152,0.4483,0.7341,0.4588,,,,
"[[128 126], [113 123], [ 95 126], [ 82 128], [ 65 131]]",128,126,65,131,5,63.961,0,0.0649,0.0508,,,,
"[[115 123], [105 126], [ 92 135]]",115,123,92,135,3,26.2517,0,0.0046,0.046,,,,
"[[130  81], [126  89], [122  97], [114 104], [106 120], [104 123], [ 99 137], [ 97 139], [ 91 146], [ 81 157]]",130,81,81,157,10,91.7929,0.1081,0.4572,0.0023,,,,
"[[74 85], [82 88], [91 97], [ 94 104], [ 92 118], [ 88 117], [ 70 118], [ 50 114]]",74,85,50,114,8,85.5768,0.4483,0.4433,0.0063,,,,
"[[131 105], [121 109], [107 109], [ 88 117], [ 70 118]]",131,105,70,118,5,63.4136,0.2941,0.1598,0.0436,,,,
"[[ 99 115], [91 97], [80 75]]",99,115,80,75,3,44.2945,0.5556,0.0702,0.0471,,,,
"[[143 153], [138 155], [131 158], [111 162], [ 94 167], [ 86 150], [ 92 129], [ 92 118], [ 95 109], [93 88]]",143,153,93,88,10,133.3275,0.4595,0.7711,0.5249,,,,
"[[116  80], [114  87], [105 104], [101 113], [ 99 115], [ 92 127], [ 86 150], [100 170], [121 178]]",116,80,121,178,9,123.7403,0.2121,0.6795,0.1852,,,,
"[[106 120], [101 113], [98 93], [94 86]]",106,120,94,86,4,36.8883,0,0.0813,0.0007,,,,
"[[ 54 117], [ 65 131], [ 70 141], [ 73 146], [ 75 148], [ 81 157], [ 94 167], [111 162], [131 158], [138 155], [143 153], [146 133]]",54,117,146,133,12,136.2029,0.2222,0.4599,0.1432,,,,
"[[136 158], [131 158], [111 162], [ 94 167], [ 86 150], [ 97 139], [ 99 137], [104 123], [107 109]]",136,158,107,109,9,109.4731,0.4242,0.7361,0.5159,,,,
