Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Prob_collision_robotino_object_detection_error
"[[106  74], [113  81], [105  98], [ 94 117], [ 85 121], [ 84 122], [ 72 129]]",106,74,72,129,7,75.7978,0.6,0.1603,0.0445,,,,
"[[113 162], [126 155], [135 147], [152 134], [155 126]]",113,162,155,126,5,56.7514,0.2941,0.2751,0.2512,,,,
"[[157 111], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 94 130], [103 124], [106 119], [119 106], [124 101]]",157,111,124,101,13,170.2348,0.449,0.8319,0.0744,,,,
"[[121 163], [126 155]]",121,163,126,155,2,9.434,0,0.0248,0.0722,,,,
"[[91 99], [ 99 106], [ 99 123], [ 98 134]]",91,99,98,134,4,38.6755,0,0.0592,0.0512,,,,
"[[160 122], [152 134], [138 149], [126 155], [113 162], [100 166], [ 88 158], [ 86 156], [ 74 150], [ 54 141], [ 49 138], [ 46 133]]",160,122,46,133,12,140.9838,0.5333,0.5275,0.0822,,,,
"[[112 169], [100 166], [ 94 162], [ 87 142], [ 94 130], [103 124], [106 119]]",112,169,106,119,7,71.3101,0.44,0.4205,0.2938,,,,
"[[74 88], [85 72], [90 66], [98 56], [100  54]]",74,88,100,54,5,42.8614,0,0.0494,0.003,,,,
"[[117 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [88 63]]",117,162,88,63,10,128.3614,0.4865,0.4882,0.0238,,,,
"[[135 147], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [96 68], [101  60], [103  57]]",135,147,103,57,14,159.6332,0.3962,0.6542,0.0053,,,,
"[[101  70], [119  62]]",101,70,119,62,2,19.6977,0,0.0682,0.0289,,,,
"[[129  65], [114  64]]",129,65,114,64,2,15.0333,0,0.0953,0.0017,,,,
"[[140  63], [123  61], [95 59]]",140,63,95,59,3,45.1886,0,0.0211,0.0365,,,,
"[[97 54], [110  63], [123  79]]",97,54,123,79,3,36.4269,0,0.0023,0.0471,,,,
"[[113 162], [133 172], [135 175]]",113,162,135,175,3,25.9662,0,0.0303,0.0103,,,,
"[[124 101], [130  73], [133  63]]",124,101,133,63,3,39.0759,0,0.108,0.0162,,,,
"[[129  84], [122  91], [115  98], [104 112], [ 91 125], [ 88 131]]",129,84,88,131,6,62.6965,0.0476,0.215,0.1323,,,,
"[[162 106], [159 113], [157 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 94 130], [104 119], [110 108], [116  94], [120  79], [129  65]]",162,106,129,65,16,209.1532,0.8033,0.7239,0.0415,,,,
"[[ 65 137], [ 70 140], [ 74 148], [ 78 162]]",65,137,78,162,4,29.3354,0,0.0741,0.0229,,,,
"[[ 94 130], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [157 118], [159  99], [196  59]]",94,130,196,59,11,194.4585,1,0.6551,0.4801,,,,
"[[ 91 118], [104 112], [115  98]]",91,118,115,98,3,32.1223,0.1111,0.1172,0.0942,,,,
"[[166 111], [164  90]]",166,111,164,90,2,21.095,0.4,0.2826,0.1836,,,,
"[[127  88], [122  96], [114 106], [109 122], [107 124], [100 136]]",127,88,100,136,6,55.7242,0,0.1584,0.0731,,,,
"[[116  94], [115  98], [104 112], [ 97 126], [ 87 142], [ 94 162], [100 166], [112 169], [133 171], [140 170]]",116,94,140,170,10,125.3842,0.3514,0.7507,0.7286,,,,
"[[90 62], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125]]",90,62,91,125,6,65.6047,0,0.152,0.0094,,,,
"[[133 172], [115 177]]",133,172,115,177,2,18.6815,0,0.0501,0.047,,,,
"[[138 165], [140 161], [149 140], [152 134], [157 118], [164  90]]",138,165,164,90,6,79.6525,0.1429,0.5823,0.2415,,,,
"[[114 106], [115  98], [110  81], [102  60], [100  54]]",114,106,100,54,5,54.5791,0.3529,0.3395,0.1009,,,,
"[[83 61], [86 64], [88 66], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [109 175], [130 185]]",83,61,130,185,12,151.0104,0.2444,0.5874,0.2791,,,,
"[[109 180], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [105  98], [110  81], [114  64], [117  53]]",109,180,117,53,9,139.1692,0.697,0.5049,0.509,,,,
"[[129  84], [122  91], [115  98], [104 112], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [155 126], [159 113], [162 106], [167  93]]",129,84,167,93,16,206.0231,0.4098,0.45,0.4424,,,,
"[[134  77], [129  84], [122  91], [115  98], [104 112], [ 91 125], [ 88 131], [ 80 143], [ 74 148], [ 64 156]]",134,77,64,156,10,106.3375,0.027,0.3606,0.1933,,,,
"[[160 122], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 83 132], [ 74 122]]",160,122,74,122,10,129.3479,0.4054,0.5456,0.0407,,,,
"[[130 185], [115 177], [100 166], [ 88 158], [ 86 156], [ 74 150], [ 54 141]]",130,185,54,141,7,88.1998,0.44,0.1355,0.0555,,,,
"[[127 160], [121 163], [100 166], [ 94 162], [ 87 142], [ 94 130], [104 119], [110 108], [122  96], [129  84], [134  77]]",127,160,134,77,11,137.0759,0.439,0.7096,0.0293,,,,
"[[123  92], [122  96], [110 108], [103 111], [ 94 117], [ 85 121], [ 67 123]]",123,92,67,123,7,67.4857,0.04,0.1716,0.0771,,,,
"[[107  91], [103 111], [ 99 123], [ 97 126], [ 87 142], [ 94 162], [100 166]]",107,91,100,166,7,83.9194,0.28,0.4319,0.1032,,,,
"[[101  97], [ 99 106], [ 99 123]]",101,97,99,123,3,26.2195,0,0.0089,0.0682,,,,
"[[138 152], [133 155], [127 160], [121 163], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [93 67]]",138,152,93,67,13,147.9494,0.3673,0.666,0.0052,,,,
"[[148  56], [157  55], [159  58], [134  65], [130  73], [122  91], [115  98], [110 108], [106 119], [103 124], [ 95 137], [ 86 156]]",148,56,86,156,12,142.1681,0.8222,0.6955,0.6108,,,,
"[[133 171], [136 165], [140 161], [149 140], [152 134], [157 118], [164  90]]",133,171,164,90,7,87.5454,0.12,0.5803,0.2415,,,,
"[[127 106], [104 112], [ 94 117], [ 85 121], [ 66 126], [ 41 131]]",127,106,41,131,6,89.9409,0.0952,0.108,0.03,,,,
"[[140 170], [133 171], [115 167], [100 166], [ 94 162], [ 87 142], [ 80 129]]",140,170,80,129,7,83.709,0.32,0.3729,0.0177,,,,
"[[ 80 143], [ 86 156], [ 88 158], [100 166], [117 162], [135 164]]",80,143,135,164,6,67.1435,0.2857,0.2671,0.1713,,,,
"[[126 103], [119 106], [103 111], [ 94 117], [ 85 121], [ 67 123], [ 50 118]]",126,103,50,118,7,80.8752,0.04,0.1111,0.0156,,,,
"[[122 130], [104 127], [ 91 125], [ 74 129]]",122,130,74,129,4,48.8655,0,0.0341,0.0251,,,,
"[[101  60], [96 68], [92 77], [97 96], [ 99 106], [ 91 118], [ 85 121], [ 67 123], [ 49 129]]",101,60,49,129,9,107.3426,0.2121,0.3454,0.0185,,,,
"[[104 127], [ 95 137], [ 86 156], [ 88 158], [100 166], [104 162], [115 158], [131 153], [144 148], [151 119]]",104,127,151,119,10,129.6139,0.4865,0.6845,0.5708,,,,
"[[92 35], [95 59], [92 77], [97 96], [ 99 106], [ 91 118], [ 85 121], [ 84 122], [ 77 139]]",92,35,77,139,9,113.2094,0.3333,0.4253,0.0153,,,,
"[[164  90], [157 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 97 126], [104 112], [115  98], [122  91], [130  73], [134  65], [159  58], [157  55], [148  56]]",164,90,148,56,18,265.8154,0.5942,0.5959,0.182,,,,
"[[162 106], [157 111], [152 104]]",162,106,152,104,3,15.6734,1,0.2057,0.0729,,,,
"[[97 96], [ 99 106], [ 91 118], [ 85 121], [ 67 123]]",97,96,67,123,5,49.4392,0.2941,0.017,0.0407,,,,
"[[ 41 136], [ 46 133], [ 62 125], [ 73 124], [ 91 118], [ 99 106], [86 90], [66 86]]",41,136,66,86,8,109.1723,0.2414,0.3644,0.0022,,,,
"[[133  63], [125  60], [112  55], [104  52], [88 53]]",133,63,88,53,5,47.0476,0,0.0171,0.0429,,,,
"[[131 102], [119 106], [103 111]]",131,102,103,111,3,29.4122,0,0.0027,0.0607,,,,
"[[ 93 158], [ 86 156], [ 95 137], [ 98 135]]",93,158,98,135,4,31.9095,0.5385,0.0203,0.0171,,,,
"[[121 163], [100 166], [ 94 162], [ 87 142], [ 83 132], [ 79 123]]",121,163,79,123,6,70.2331,0.4762,0.3272,0.041,,,,
"[[117  53], [114  64], [110  74], [107  91], [103 111], [ 99 123], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [155 126], [159 113], [165  88]]",117,53,165,88,17,233.0184,0.7846,0.319,0.3118,,,,
"[[153 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 83 159]]",153,118,83,159,7,96.717,0.36,0.3167,0.0262,,,,
"[[160 122], [159 113], [152 104]]",160,122,152,104,3,20.4571,1,0.2619,0.087,,,,
"[[168  97], [162 106], [159 113], [157 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 88 158], [ 86 156], [ 74 150], [ 61 140]]",168,97,61,140,13,149.9499,0.6735,0.5353,0.0555,,,,
"[[104  52], [96 68], [92 77], [97 96], [ 99 106], [ 91 118], [ 85 121], [ 67 123], [ 46 121]]",104,52,46,121,9,117.9185,0.2121,0.6564,0.0048,,,,
"[[136  70], [129  84], [122  96], [114 106], [106 119], [ 98 135]]",136,70,98,135,6,75.504,0,0.2186,0.0794,,,,
"[[90 49], [93 55], [95 59], [92 77], [97 96], [ 99 106], [ 91 118], [ 85 121], [ 67 123], [ 49 129]]",90,49,49,129,10,117.4884,0.1892,0.4784,0.0185,,,,
"[[157  55], [159  58], [134  65], [135  85], [135 108]]",157,55,135,108,5,72.592,0.7059,0.4934,0.4263,,,,
"[[135 103], [122  96]]",135,103,122,96,2,14.7648,0,0.0306,0.0664,,,,
"[[97 96], [ 99 106], [ 91 118]]",97,96,91,118,3,24.6202,0.1111,0.03,0.0259,,,,
"[[88 53], [95 59], [106  74], [113  81], [123  92], [131 102], [137 107]]",88,53,137,107,7,73.2027,0.44,0.2368,0.0859,,,,
"[[165  88], [164  90], [157 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [89 70], [86 52]]",165,88,86,52,17,232.3629,0.4462,0.7068,0.063,,,,
"[[110  81], [107  91], [103 111], [ 99 123], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [160 122], [166 111]]",110,81,166,111,14,183.1207,0.8302,0.6008,0.438,,,,
"[[74 88], [85 72], [90 66], [103  57]]",74,88,103,57,4,43.0381,0,0.0282,0.0308,,,,
"[[ 94 130], [ 79 127], [ 67 123]]",94,130,67,123,3,27.9462,0,0.0382,0.0588,,,,
"[[96 68], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [157 118], [164  90]]",96,68,164,90,15,213.6194,0.3333,0.5172,0.4643,,,,
"[[129 111], [127 114], [115 121], [109 122]]",129,111,109,122,4,23.5808,0,0.0298,0.0668,,,,
"[[ 93 158], [ 77 139], [ 62 125], [ 52 114]]",93,158,52,114,4,60.2238,0,0.001,0.0155,,,,
"[[115 167], [112 169], [100 176]]",115,167,100,176,3,17.498,0.1111,0.0256,0.0594,,,,
"[[ 88 122], [104 119], [120 122]]",88,122,120,122,3,32.5576,0,0.0373,0.1259,,,,
"[[88 51], [90 62], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [109 175]]",88,51,109,175,10,135.2884,0.5135,0.5542,0.1679,,,,
"[[ 94 162], [ 87 142], [ 91 125], [ 94 117], [105  98], [110  81], [116  65]]",94,162,116,65,7,103.9604,0.68,0.3016,0.0412,,,,
"[[172  98], [161 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 88 158], [ 86 156]]",172,98,86,156,9,120.7346,0.3333,0.5225,0.4183,,,,
"[[149 140], [138 149], [126 155], [113 162], [100 166], [ 88 158], [ 86 156], [ 95 137], [ 98 135], [112 124], [115 121], [127 114], [129 111], [137 107]]",149,140,137,107,14,146.3648,0.3585,0.8122,0.2505,,,,
"[[101  97], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [114 172], [135 175]]",101,97,135,175,9,112.1563,0.303,0.6353,0.2914,,,,
"[[130  73], [122  91], [115  98], [104 112], [ 97 126], [ 87 142], [ 94 162], [100 166], [114 172], [138 181]]",130,73,138,181,10,151.1864,0.2973,0.7574,0.6972,,,,
"[[ 95 137], [ 97 126], [ 99 106], [97 96], [92 77], [89 70], [88 53]]",95,137,88,53,7,85.7702,0,0.2729,0.0541,,,,
"[[83 61], [89 70], [101  83], [107  89], [111  97], [114 106]]",83,61,114,106,6,55.4248,0.4286,0.1254,0.0659,,,,
"[[109 175], [ 94 162], [ 87 142], [ 94 130], [ 99 123], [103 111]]",109,175,103,111,6,76.1829,0.4762,0.4009,0.3942,,,,
"[[112 169], [100 166], [ 94 162], [ 87 142], [ 94 130], [103 124], [106 119], [119 106], [131  96], [140  81]]",112,169,140,81,10,122.8082,0.4595,0.4927,0.0927,,,,
"[[91 65], [93 55]]",91,65,93,55,2,10.198,0,0.0753,0.0217,,,,
"[[134  77], [123  79], [100  73], [92 77], [90 78], [72 84]]",134,77,72,84,6,65.1041,0.381,0.1524,0.0038,,,,
"[[74 88], [97 96], [114 106], [129 113]]",74,88,129,113,4,60.6276,0.8462,0.0783,0.1346,,,,
"[[140 161], [121 163], [100 166], [ 88 158], [ 86 156], [ 74 150], [ 54 141], [ 49 138], [ 46 133]]",140,161,46,133,9,104.5788,0.5758,0.2788,0.0822,,,,
"[[ 63 141], [ 74 148], [ 86 156], [ 88 158], [100 166], [113 162], [126 155], [135 147], [152 134], [155 123]]",63,141,155,123,10,117.9218,0.3243,0.332,0.3031,,,,
"[[110  74], [107  91], [103 111], [ 99 123], [ 97 126], [ 87 142], [ 94 162], [100 166], [115 167], [143 179]]",110,74,143,179,10,146.6785,0.7297,0.7113,0.3249,,,,
"[[140  63], [114  64], [90 66]]",140,63,90,66,3,50.1024,0,0.0193,0.0268,,,,
"[[ 72 129], [ 67 132], [ 41 136]]",72,129,41,136,3,32.1368,0.2222,0.1287,0.0207,,,,
