Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_Brute_force_8_pix,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[112 179], [129 168], [134 165], [144 135], [125 112], [122 103], [118  81], [118  59]]",112,179,118,59,8,141.3826,0.6552,0.7683,0.66,0.6639,,,,38.7474,
"[[ 64 153], [ 66 157]]",64,153,66,157,2,4.4721,0.0,0.0036,0.0274,0.0696,,,,30.4711,
"[[72 56], [93 63], [109  70]]",72,56,109,70,3,39.6002,0.0,0.0317,0.0238,0.0302,,,,30.8475,
"[[ 31 119], [ 43 120], [ 55 124], [ 79 120], [ 99 118], [125 112], [133 108], [145  95], [158  93], [178  76], [168  62], [157  48], [130  35], [117  28], [101  23], [83 17], [72 28]]",31,119,72,28,17,292.8764,0.8923,1.0,0.6029,0.5967,,,,43.3028,
"[[ 79 120], [ 99 118], [125 112], [133 108], [145  95], [158  93], [178  76], [175  73], [162  52]]",79,120,162,52,9,141.7617,0.8485,0.9619,0.4686,0.4544,,,,40.8042,
"[[57 93], [67 94], [84 84], [89 78], [92 76], [101  73], [118  81], [128  84], [154  88], [178  82], [172  72], [168  62], [157  48], [130  35], [117  28], [101  23], [90 20], [71 17]]",57,93,71,17,18,263.3171,1.0,1.0,0.7394,0.683,,,,44.2835,
"[[35 94], [ 58 100], [67 94], [84 84], [89 78], [92 76], [101  73], [118  81], [128  84], [150  85]]",35,94,150,85,10,126.4634,0.2432,0.3444,0.3338,0.093,,,,34.7523,
"[[ 50 120], [ 55 124]]",50,120,55,124,2,6.4031,0.0,0.0051,0.0655,0.0316,,,,30.4852,
"[[143 129], [160 129]]",143,129,160,129,2,17.0,0.0,0.0136,0.0641,0.1611,,,,30.5628,
"[[112 179], [103 176], [ 92 172], [ 80 165], [ 76 163], [ 66 157], [ 57 154], [ 40 149], [ 38 147], [ 24 137]]",112,179,24,137,10,98.458,0.3514,0.4302,0.1704,0.269,,,,35.6303,
"[[168  62], [157  48], [130  35], [117  28], [104  19], [99 17], [82  5]]",168,62,82,5,7,104.5412,0.4,0.4836,0.1764,0.1969,,,,35.8038,
"[[123 114], [122 103], [118  81], [109  75], [82 65], [63 48]]",123,114,63,48,6,98.5102,0.2857,0.3645,0.4986,0.1531,,,,34.4963,
